trial,truth,z_A,dec_A,z_B,dec_B,team_UW,team_WCS,team_DSS,team_CF,team_BF
27,0,-0.8347993941144183,0,1.7055880368415037,1,1,1,1,0,1
28,0,0.2287114061289749,1,-0.751988112507056,0,0,0,0,1,0
29,1,2.305940278708773,1,-0.054957247823941624,0,1,1,1,0,0
30,1,2.5982889833413343,1,1.507303659103914,1,1,1,1,1,1
31,1,1.7868913445990806,1,1.5736860507455956,1,1,1,1,1,1
32,0,-0.5743255463420007,0,-1.2479018057748035,0,0,0,0,0,0
33,0,-0.8166932540559204,0,-0.6614846132374226,0,0,0,0,0,0
34,0,-0.023930496438609117,0,-0.9019054959014345,0,0,0,0,0,0
35,0,1.0739744952710462,1,-0.3303106209389097,0,1,1,1,1,0
36,0,-0.1662308777855484,0,0.7036866709514927,1,1,1,1,1,1
37,0,-0.1454681281311891,0,-1.204027521128091,0,0,0,0,0,0
38,0,-0.5486021456829077,0,0.6896648122369365,1,1,1,1,1,1
39,1,0.27210893736878755,1,0.5016512489213085,1,1,1,1,1,1
40,0,-0.7621345066439178,0,1.926192136314278,1,1,1,1,0,0
41,1,0.73542598524553,1,0.7188308843708735,1,1,1,1,1,1
42,1,2.3180999962398223,1,0.30308143037073476,1,1,1,1,1,1
43,0,-0.8397137785308018,0,0.17471472711599234,1,0,0,0,0,0
44,1,0.6526120759113806,1,0.06285376211278992,1,1,1,1,1,1
45,1,-0.2653776604065087,0,-1.3952731233518256,0,0,0,0,0,0
46,0,0.11663106647315524,1,-0.640521174271098,0,0,0,0,0,1
47,0,0.7666791787182826,1,-0.6562936090692251,0,1,1,1,0,1
